poi_name,address1,address2,city,state,pin,country,tel,lat,lon
Titan Store,ABOVE BARISTA,FC ROAD,PUNE,MAHARASTRA,411004,India,9999999999,18.51827,73.841587
Titan Store,NEXT TO MC DONALDS,KAMALANAGAR,NEW DELHI,DELHI,110007,India,9999999999,28.681004,77.207824
Titan Store,NEAR VASANTHA BHAVAN HOTEL,ANNA NAGAR,CHENNAI,TAMILNADU,600040,India,9999999999,13.083222,80.217815
Titan Store,OPP TANISHQ,DWARAKA NAGAR,VISHAKAPATNAM,ANDHRA PRADESH,530016,India,9999999999,17.725896,83.306341
Titan Store,OPP SAPNA BOOK HOUSE,KORMANGALA,BANGALORE,KARNATAKA,560095,India,9999999999,12.936532,77.616072
Titan Store,3rd BLOCK,JAYANAGAR,BANGALORE,KARNATAKA,560011,India,9999999999,12.930927,77.584046
Titan Store,BESIDE CANARA BANK ATM,BEL ROAD,BANGALORE,KARNATAKA,560054,India,9999999999,13.036262,77.566365
Titan Store,NEAR DURGA CAFÉ,KOTHRUD,PUNE,MAHARASTRA,411038,India,9999999999,18.50146,73.74395
Titan Store,NEAR JANPATH,SRIYA TALKIES SQUARE,BHUBHANESHWAR,ORISSA,751001,India,9999999999,20.27479,85.84342
Titan Store,GOKHALE ROAD,NAUPADA,THANE-WEST,MAHARASTRA,400602,India,9999999999,19.18787,72.97287
Titan Store,,VELACHERY,CHENNAI,TAMILNADU,600042,India,9999999999,12.983197,80.218177
Titan Store,OPP. TO BYK COLLEGE,COLLEGE ROAD,NASIK,MAHARASTRA,422002,India,9999999999,20.00611,73.76283
Titan Store,BESIDE HYDERABAD HOUSE,HIMAYAT NAGAR,HYDERABAD,ANDHRA PRADESH,500029,India,9999999999,17.40085,78.48778
Titan Store,ZONE 1,MP NAGAR CIRCLE,BHOPAL,MADHYA PRADESH,462016,India,9999999999,23.233437,77.434014
Titan Store,OPP LEVIS SHOWROOM,KAMARAJ ROAD,BANGALORE,KARNATAKA,560001,India,9999999999,12.98111,77.60995
Titan Store,"LAXMININDRANAAGR,",UDIPI MANIPAL  ROAD,MANIPAL,KARNATAKA,576102,India,9999999999,13.3535,74.78542
Titan Store,ROYAL ARCADE,B BARUAH ROAD,GUWAHATI,ASSAM,781007,India,9999999999,26.17636,91.75751
Titan Store,NEXT TO ARYAS HOTEL ,R S PURAM,COIMBATORE,TAMILNADU,641002,India,9999999999,11.01557,76.95407
Titan Store,HOTEL KOHINOOR PLAZA,NIRALA BAZAAR,AURANGABAD,MAHARASTRA,431001,India,9999999999,19.87828,75.32287
Titan Store,K S ROAD,CITI CENTRE MALL,MANGALORE,KARNATAKA,575001,India,9999999999,12.87126,74.84285
